City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
173,Koraput,IN,2020-05-08 22:22:59,18.82,82.72,78.69,49,40,3.87,scattered clouds,0,0
174,Sinnamary,GF,2020-05-08 22:20:46,5.38,-52.95,78.66,80,72,11.72,broken clouds,0,0
175,South Venice,US,2020-05-08 22:22:59,27.05,-82.42,82.99,65,1,10.29,clear sky,0,0
176,Surgut,RU,2020-05-08 22:23:00,61.25,73.42,62.6,42,100,8.95,overcast clouds,0,0
177,Vung Tau,VN,2020-05-08 22:23:00,10.35,107.08,83.88,75,100,7.31,overcast clouds,0,0
178,Oktyabrskiy,RU,2020-05-08 22:20:46,54.48,53.47,56.21,54,21,3.56,few clouds,0,0
179,Corrales,US,2020-05-08 22:23:00,35.24,-106.61,73.0,19,1,10.29,"sand,dust whirls",0,0
180,La Ronge,CA,2020-05-08 22:19:46,55.1,-105.28,42.8,45,90,9.17,overcast clouds,0,0
181,Ornskoldsvik,SE,2020-05-08 22:23:00,63.29,18.72,37.4,83,55,13.87,broken clouds,0,0
182,Meulaboh,ID,2020-05-08 22:20:06,4.14,96.13,75.85,91,97,3.06,overcast clouds,0,0
183,Faya,SA,2020-05-08 22:19:45,18.39,42.45,68.0,82,12,2.46,few clouds,0,0
184,Hare Bay,CA,2020-05-08 22:23:01,48.85,-54.01,41.0,75,75,14.99,broken clouds,0,0
185,Matagami,CA,2020-05-08 22:23:01,49.75,-77.63,24.8,92,90,12.75,light snow,0,0
186,Vetluzhskiy,RU,2020-05-08 22:23:01,58.39,45.47,49.06,95,98,4.81,overcast clouds,0,0
187,Kruisfontein,ZA,2020-05-08 22:19:36,-34.0,24.73,56.1,95,0,1.72,clear sky,0,0
188,Huilong,CN,2020-05-08 22:23:01,31.81,121.66,70.0,91,73,11.68,broken clouds,0,0
189,Peniche,PT,2020-05-08 22:23:01,39.36,-9.38,59.0,84,85,5.01,overcast clouds,0,0
190,Barra Patuca,HN,2020-05-08 22:23:02,15.8,-84.28,83.82,74,64,10.07,broken clouds,0,0
191,Tiksi,RU,2020-05-08 22:19:31,71.69,128.87,16.45,97,100,16.46,light snow,0,0
192,Bambous Virieux,MU,2020-05-08 22:23:02,-20.34,57.76,71.6,94,40,4.7,scattered clouds,0,0
193,Miri,MY,2020-05-08 22:23:02,4.41,114.01,78.8,100,75,3.36,broken clouds,0,0
194,Karratha,AU,2020-05-08 22:20:11,-20.74,116.85,75.0,48,57,14.94,broken clouds,0,0
195,Mazagao,BR,2020-05-08 22:19:11,-0.12,-51.29,86.0,79,40,5.82,scattered clouds,0,0
196,Le Pradet,FR,2020-05-08 22:23:03,43.11,6.02,62.01,87,31,4.7,scattered clouds,0,0
197,Port Hardy,CA,2020-05-08 22:20:37,50.7,-127.42,66.2,42,20,3.36,few clouds,0,0
198,Kelme,LT,2020-05-08 22:23:03,55.63,22.93,44.6,87,0,8.05,clear sky,0,0
199,Axim,GH,2020-05-08 22:23:03,4.87,-2.24,81.75,85,100,7.23,overcast clouds,0,0
200,Santa Elena,EC,2020-05-08 22:23:03,-2.23,-80.85,82.4,74,29,9.17,scattered clouds,0,0
201,Khatanga,RU,2020-05-08 22:19:49,71.97,102.5,22.19,94,100,20.6,overcast clouds,0,0
202,Fianarantsoa,MG,2020-05-08 22:23:04,-21.43,47.08,57.13,96,93,5.7,overcast clouds,0,0
203,Bodden Town,KY,2020-05-08 22:23:04,19.28,-81.25,87.01,74,20,10.29,few clouds,0,0
204,Vila Velha,BR,2020-05-08 22:20:51,-20.33,-40.29,71.01,77,40,8.05,scattered clouds,0,0
205,Nome,US,2020-05-08 22:20:54,64.5,-165.41,53.6,40,75,13.87,broken clouds,0,0
206,Corn Island,NI,2020-05-08 22:23:04,12.17,-83.04,82.6,82,44,16.98,scattered clouds,0,0
207,Peterhead,GB,2020-05-08 22:23:04,57.51,-1.8,48.99,87,20,2.24,light rain,0,0
208,Parker,US,2020-05-08 22:23:04,32.77,-97.8,69.01,55,100,8.01,overcast clouds,0,0
209,Souillac,MU,2020-05-08 22:19:34,-20.52,57.52,71.6,94,40,4.7,scattered clouds,0,0
210,Srandakan,ID,2020-05-08 22:23:05,-7.94,110.25,76.78,92,97,4.34,light rain,0,0
211,Longyearbyen,SJ,2020-05-08 22:17:12,78.22,15.64,24.8,85,75,8.05,light snow,0,0
212,Hasaki,JP,2020-05-08 22:20:06,35.73,140.83,64.4,63,75,11.41,broken clouds,0,0
213,Havre-Saint-Pierre,CA,2020-05-08 22:20:17,50.23,-63.6,41.0,81,90,17.22,overcast clouds,0,0
214,Namibe,AO,2020-05-08 22:20:50,-15.2,12.15,80.76,50,0,0.58,clear sky,0,0
215,Sao Joao Da Barra,BR,2020-05-08 22:19:46,-21.64,-41.05,69.8,77,1,4.7,clear sky,0,0
216,Labytnangi,RU,2020-05-08 22:23:05,66.66,66.42,35.47,90,100,4.21,overcast clouds,0,0
217,Buraydah,SA,2020-05-08 22:21:34,26.33,43.98,86.0,30,40,20.8,dust,0,0
218,Slawno,PL,2020-05-08 22:23:06,54.36,16.68,46.63,80,2,9.08,clear sky,0,0
219,San Cristobal,VE,2020-05-08 22:23:06,7.77,-72.22,86.0,55,75,43.62,broken clouds,0,0
220,Vryburg,ZA,2020-05-08 22:20:38,-26.96,24.73,57.88,38,100,2.55,overcast clouds,0,0
