City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Saint George,US,2020-05-06 00:26:36,37.1,-113.58,89.01,8,1,9.17
212,Ribeira Grande,PT,2020-05-06 00:29:56,38.52,-28.7,60.89,86,89,11.21
213,Arlit,NE,2020-05-06 00:26:23,18.74,7.39,85.17,12,0,13.4
214,Betioky,MG,2020-05-06 00:29:56,-23.72,44.38,65.61,81,76,8.08
215,Ketchikan,US,2020-05-06 00:29:56,55.34,-131.65,55.4,62,75,19.46
216,Lagoa,PT,2020-05-06 00:25:43,39.05,-27.98,60.06,81,93,11.74
217,Bekhtery,UA,2020-05-06 00:29:57,46.25,32.29,53.01,100,83,1.99
218,Kavieng,PG,2020-05-06 00:29:57,-2.57,150.8,83.43,78,100,5.39
219,Matay,EG,2020-05-06 00:29:57,28.42,30.78,59.83,67,0,6.6
220,Cabo San Lucas,MX,2020-05-06 00:28:43,22.89,-109.91,87.01,32,5,4.7
221,Tura,IN,2020-05-06 00:29:57,25.52,90.22,71.62,88,37,4.25
222,Chokurdakh,RU,2020-05-06 00:25:54,70.63,147.92,19.02,96,70,9.15
223,Los Llanos De Aridane,ES,2020-05-06 00:25:49,28.66,-17.92,66.2,72,78,6.93
224,Kousseri,CM,2020-05-06 00:29:57,12.08,15.03,89.6,19,3,6.93
225,Hami,CN,2020-05-06 00:29:58,42.8,93.45,61.63,32,100,27.29
226,Norman Wells,CA,2020-05-06 00:29:58,65.28,-126.83,51.8,81,20,8.05
227,Sept-Iles,CA,2020-05-06 00:29:58,50.2,-66.38,46.4,39,75,6.93
228,Bendigo,AU,2020-05-06 00:29:58,-36.77,144.28,55.99,78,96,1.01
229,Sukabumi,ID,2020-05-06 00:29:58,-6.92,106.93,73.94,86,78,1.9
230,Tazovskiy,RU,2020-05-06 00:29:59,67.47,78.7,28.08,99,100,7.11
231,Aizawl,IN,2020-05-06 00:29:59,23.73,92.72,63.14,100,22,2.24
232,Upernavik,GL,2020-05-06 00:29:59,72.79,-56.15,22.71,89,54,7.43
233,Bowen,AU,2020-05-06 00:29:59,-20.02,148.23,77.0,57,40,19.46
234,Oussouye,SN,2020-05-06 00:29:59,12.48,-16.55,77.0,88,0,4.7
235,Rawson,AR,2020-05-06 00:29:51,-43.3,-65.1,51.62,63,0,4.05
236,Gazojak,TM,2020-05-06 00:30:00,41.19,61.4,65.89,52,9,9.71
237,Inhambane,MZ,2020-05-06 00:30:00,-23.86,35.38,69.4,73,10,5.84
238,Kavaratti,IN,2020-05-06 00:30:00,10.57,72.64,84.52,81,99,12.86
239,Chimbote,PE,2020-05-06 00:30:00,-9.09,-78.58,68.25,85,69,8.48
240,Alofi,NU,2020-05-06 00:30:00,-19.06,-169.92,86.0,58,40,5.82
241,Khandyga,RU,2020-05-06 00:30:01,62.67,135.6,40.96,70,66,1.48
242,Naze,JP,2020-05-06 00:30:01,28.37,129.48,73.4,100,75,8.05
243,Tuktoyaktuk,CA,2020-05-06 00:30:01,69.45,-133.04,30.2,80,90,3.36
244,Dwarka,IN,2020-05-06 00:30:02,22.24,68.97,81.14,86,0,10.8
245,Tiksi,RU,2020-05-06 00:30:03,71.69,128.87,21.56,97,100,8.61
246,Diego De Almagro,CL,2020-05-06 00:30:06,-26.37,-70.05,55.2,46,0,2.08
247,Moa,CU,2020-05-06 00:30:07,20.66,-74.94,78.04,81,9,8.93
248,Mamaku,NZ,2020-05-06 00:30:08,-38.1,176.08,57.0,65,3,6.6
249,Kelso,US,2020-05-06 00:30:09,46.15,-122.91,69.01,60,90,9.17
250,Gazanjyk,TM,2020-05-06 00:26:14,39.24,55.52,72.77,33,41,18.39
251,Necochea,AR,2020-05-06 00:27:00,-38.55,-58.74,53.01,67,93,15.01
252,Adrar,MR,2020-05-06 00:30:09,20.5,-10.07,89.64,11,0,8.21
253,Olafsvik,IS,2020-05-06 00:30:10,64.89,-23.71,42.31,88,95,7.76
254,Hay River,CA,2020-05-06 00:30:10,60.82,-115.8,46.4,49,40,13.87
255,Kodiak,US,2020-05-06 00:30:10,57.79,-152.41,44.6,70,90,20.8
256,Aviemore,GB,2020-05-06 00:30:10,57.2,-3.83,41.0,93,0,2.24
257,Meulaboh,ID,2020-05-06 00:30:11,4.14,96.13,79.16,83,100,2.46
258,Chara,RU,2020-05-06 00:30:11,56.91,118.26,48.34,49,100,2.08
259,Bayan,CN,2020-05-06 00:30:11,46.08,127.4,58.06,36,0,4.83
260,Huarmey,PE,2020-05-06 00:30:11,-10.07,-78.15,67.82,84,71,8.48
261,Port-Gentil,GA,2020-05-06 00:26:34,-0.72,8.78,82.4,88,20,4.7
262,Mezhdurechensk,RU,2020-05-06 00:30:11,53.69,88.06,41.29,82,100,6.31
263,Baruun-Urt,MN,2020-05-06 00:30:12,46.68,113.28,67.73,24,100,14.76
264,Nome,US,2020-05-06 00:30:12,64.5,-165.41,41.0,60,1,5.82
265,Marawi,PH,2020-05-06 00:30:12,8.0,124.29,82.99,82,44,4.0
266,Sinnamary,GF,2020-05-06 00:30:12,5.38,-52.95,78.64,85,100,13.47
267,Tawau,MY,2020-05-06 00:30:13,4.25,117.89,77.0,94,40,6.93
268,Cidreira,BR,2020-05-06 00:30:13,-30.18,-50.21,65.17,87,100,10.33
269,Tahta,EG,2020-05-06 00:30:13,26.77,31.5,62.1,46,0,9.06
270,Pisco,PE,2020-05-06 00:30:13,-13.7,-76.22,66.2,82,75,12.75
271,Moose Factory,CA,2020-05-06 00:25:34,51.26,-80.61,33.8,64,1,6.93
272,Kerman,IR,2020-05-06 00:30:13,30.28,57.08,55.4,54,63,3.85
273,Manggar,ID,2020-05-06 00:30:14,-2.88,108.27,85.21,75,0,7.49
274,Quelimane,MZ,2020-05-06 00:30:14,-17.88,36.89,68.4,87,13,3.89
275,La Ronge,CA,2020-05-06 00:30:14,55.1,-105.28,55.4,30,5,5.82
276,Sola,VU,2020-05-06 00:30:14,-13.88,167.55,89.6,75,75,11.14
277,Mumbwa,ZM,2020-05-06 00:30:14,-14.98,27.06,57.9,63,0,4.81
278,Qasigiannguit,GL,2020-05-06 00:30:14,68.82,-51.19,28.4,63,0,11.41
279,Maryborough,AU,2020-05-06 00:30:15,-25.53,152.7,72.0,74,23,8.99
280,Ternate,ID,2020-05-06 00:30:15,0.8,127.4,85.62,71,5,1.48
281,Ostrovnoy,RU,2020-05-06 00:30:15,68.05,39.51,34.57,88,3,21.52
282,Chalisgaon,IN,2020-05-06 00:30:15,20.47,75.02,81.79,33,0,1.66
283,Ballitoville,ZA,2020-05-06 00:30:15,-29.54,31.21,62.6,88,40,2.24
284,Dukat,RU,2020-05-06 00:30:16,62.55,155.55,24.93,96,100,16.71
285,Iqaluit,CA,2020-05-06 00:30:16,63.75,-68.51,14.0,72,5,9.17
286,Dingle,PH,2020-05-06 00:30:16,11.0,122.67,89.01,60,61,4.09
287,Inuvik,CA,2020-05-06 00:29:30,68.35,-133.72,33.8,98,90,3.36
288,Lalmohan,BD,2020-05-06 00:30:16,22.34,90.74,83.59,80,6,7.63
289,Novaci,RO,2020-05-06 00:30:16,45.18,23.67,50.29,79,100,4.38
290,Fare,PF,2020-05-06 00:26:17,-16.7,-151.02,83.05,72,45,8.39
291,Zastron,ZA,2020-05-06 00:30:17,-30.3,27.08,44.04,60,0,1.83
292,Sand Springs,US,2020-05-06 00:30:17,36.14,-96.11,77.0,25,1,3.36
293,Capesterre-Belle-Eau,GP,2020-05-06 00:30:17,16.04,-61.57,80.6,74,70,6.93
294,Aden,YE,2020-05-06 00:30:17,12.78,45.04,85.17,78,100,18.03
295,Kloulklubed,PW,2020-05-06 00:30:17,7.04,134.26,84.2,79,75,6.93
296,Praia,CV,2020-05-06 00:30:17,14.92,-23.51,73.4,73,0,12.75
297,Yenagoa,NG,2020-05-06 00:30:18,4.92,6.26,78.3,92,6,3.49
298,Mar Del Plata,AR,2020-05-06 00:29:18,-38.0,-57.56,54.0,76,90,11.41
299,Nortelandia,BR,2020-05-06 00:30:18,-14.45,-56.8,76.12,73,100,1.79
300,Yekepa,LR,2020-05-06 00:30:18,7.58,-8.54,71.94,99,99,2.57
301,Lujiang,CN,2020-05-06 00:30:18,31.26,117.28,64.99,88,90,6.71
302,Cockburn Town,TC,2020-05-06 00:30:18,21.46,-71.14,79.83,81,0,15.84
303,Tessalit,ML,2020-05-06 00:30:19,20.2,1.01,86.49,19,0,6.85
304,Mozarlandia,BR,2020-05-06 00:30:19,-14.74,-50.57,74.1,73,7,2.73
